Region,Category,Year,Quarter,Total_Sales,N_Transacciones,Ticket_Promedio,Pct_Participacion_Categoria
West,Furniture,2018,2018Q2,11699.2075,41,285.3465243902439,26.189903294170925
West,Furniture,2018,2018Q3,20490.475,66,310.4617424242424,27.936681867195993
West,Furniture,2018,2018Q4,32119.309999999998,93,345.36892473118274,40.36438360289119
West,Office Supplies,2015,2015Q1,7131.852,51,139.84023529411763,47.528009086221736
West,Office Supplies,2015,2015Q2,5990.05,55,108.91,23.70399114499096
West,Office Supplies,2015,2015Q3,20321.691,122,166.57123770491802,41.09373730777815
West,Office Supplies,2015,2015Q4,17845.617,150,118.97077999999999,31.76499769580455
West,Office Supplies,2016,2016Q1,3742.8500000000004,39,95.97051282051282,18.62171682691538
West,Office Supplies,2016,2016Q2,7922.778,70,113.18254285714286,30.30103446912873
West,Office Supplies,2016,2016Q3,10486.406,105,99.87053333333334,32.56571266321472
West,Office Supplies,2016,2016Q4,15269.152,152,100.45494736842106,27.63020352720312
West,Office Supplies,2017,2017Q1,8259.731,43,192.08676744186047,33.966878747247556
West,Office Supplies,2017,2017Q2,5612.022,104,53.96175,14.13491379789112
West,Office Supplies,2017,2017Q3,9146.49,137,66.762700729927,19.54375970959093
West,Office Supplies,2017,2017Q4,24113.115999999998,190,126.91113684210525,33.65361357583562
West,Office Supplies,2018,2018Q1,15124.642,107,141.35179439252337,29.925654209576702
West,Office Supplies,2018,2018Q2,11638.366,125,93.106928,26.05370321384306
West,Office Supplies,2018,2018Q3,27708.573,185,149.77607027027028,37.77782549672356
West,Office Supplies,2018,2018Q4,27153.173,225,120.68076888888888,34.12343201045314
West,Technology,2015,2015Q1,2650.43,8,331.30375,17.662966242484377
West,Technology,2015,2015Q2,10459.136,26,402.27446153846154,41.389181580830915
West,Technology,2015,2015Q3,13845.659,36,384.6016388888889,27.998155950657566
West,Technology,2015,2015Q4,17776.216,56,317.4324285714286,31.641464695791914
West,Technology,2016,2016Q1,9178.565999999999,12,764.8804999999999,45.66591151907058
West,Technology,2016,2016Q2,10223.004,27,378.6297777777778,39.09835623086257
West,Technology,2016,2016Q3,7463.502,24,310.97925000000004,23.178032740037757
West,Technology,2016,2016Q4,18232.702,53,344.0132452830189,32.99287786976273
West,Technology,2017,2017Q1,10936.814,21,520.8006666666666,44.975972585450975
West,Technology,2017,2017Q2,15703.162,25,628.12648,39.551313452498846
West,Technology,2017,2017Q3,18331.89,38,482.41815789473685,39.1706603497793
West,Technology,2017,2017Q4,17126.857,52,329.3626346153846,23.903199704534057
West,Technology,2018,2018Q1,28695.893999999997,41,699.8998536585365,56.7777671087135
West,Technology,2018,2018Q2,21333.105,39,547.0026923076923,47.756393491986024
West,Technology,2018,2018Q3,25147.082,57,441.17687719298243,34.28549263608046
West,Technology,2018,2018Q4,20300.911,74,274.3366351351351,25.512184386655672
